[crowd] 1000 generated ambient citizens; 244 with no trade at all (24.4%), 0 of those with no support circumstance
[night] Wyn Alder reflected: remember, set_round
[night] Segwin Rasp reflected: remember, set_round
[night] Havise Dorn reflected: remember, set_round
[night] Osanne Vell reflected: remember, set_round
[night] Cobb reflected: remember, set_round
[night] Betriss Marle reflected: remember, set_round
[night] Tam Rud reflected: remember, set_round
[night] Tilman Rue reflected: remember, set_round
[night] Sible Mott reflected: remember, set_round
[night] Conny reflected: remember, set_round
[night] Noll Fitch reflected: remember, set_round
[night] Jonet Sparr reflected: remember, set_round
[night] Aubin Ferrant reflected: remember, set_round
[night] Gude reflected: remember, set_round
[night] Hamel Stott reflected: remember, set_round
[night] Ede of the Needle reflected: remember, set_round
[night] Lise Copp reflected: remember, set_round
[night] Ilse reflected: remember, set_round
[night] Petronel Roper reflected: remember, set_round
[night] Grigor Ashe reflected: remember, set_round
[night] Sven reflected: remember, set_round
[night] 127 ambient evenings moved to a tavern hearth for day 3
[night] Aldith reflected: remember
[night] Sef reflected: remember, set_round
[night] Dunstan Pike reflected: remember, set_round
[night] Mote reflected: remember, set_round
[night] Nan reflected: remember, set_round
[night] Tib reflected: remember, set_round
[night] Jos Brant reflected: remember, set_round
[night] Corin Copp reflected: remember, set_round
[night] fabric ward reflected: ward_mood, Ansel Hobbe makes The Lanthorn leg 1 of their round
[night] wick ward reflected: ward_mood, Aldith Rill makes The Wickmarket leg 1 of their round
[night] cloth ward reflected: ward_mood, Ede Nett makes Seraph statue leg 1 of their round
[night] wallwright ward reflected: ward_mood, Ansel Halfbell makes Coswald's Yard leg 1 of their round
[night] cinder ward reflected: ward_mood, Dunstan Hook makes The Gradine leg 1 of their round
[night] weigh ward reflected: ward_mood, Jonet Galt makes The Tallage leg 1 of their round
[night] reed ward reflected: ward_mood, Ewart Alder makes Maren's Green leg 1 of their round
[night] bell_and_sluice ward reflected: ward_mood, Ede Clove makes The Bellstand leg 1 of their round
[night] Renna Tapster reflected: remember, set_round
